,TNme,TID,ITNme
0,Abilene Christian,1101,abilene-christian
1,Air Force,1102,air-force
2,Akron,1103,akron
3,Alabama,1104,alabama
4,Alabama A&M,1105,alabama-am
5,Alabama State,1106,alabama-state
6,Alabama-Birmingham,1412,alabama-birmingham
7,Albany (NY),1107,albany-ny
8,Alcorn State,1108,alcorn-state
9,American,1110,american
10,Appalachian State,1111,appalachian-state
11,Arizona,1112,arizona
12,Arizona State,1113,arizona-state
13,Arkansas,1116,arkansas
14,Arkansas State,1117,arkansas-state
15,Arkansas-Pine Bluff,1115,arkansas-pine-bluff
16,Army,1119,army
17,Auburn,1120,auburn
18,Austin Peay,1122,austin-peay
19,Ball State,1123,ball-state
20,Baylor,1124,baylor
21,Bellarmine,1184,bellarmine
22,Belmont,1125,belmont
23,Bethune-Cookman,1126,bethune-cookman
24,Binghamton,1127,binghamton
25,Boise State,1129,boise-state
26,Boston College,1130,boston-college
27,Boston University,1131,boston-university
28,Bowling Green State,1132,bowling-green-state
29,Bradley,1133,bradley
30,Brigham Young,1140,brigham-young
31,Brown,1135,brown
32,Bryant,1136,bryant
33,Bucknell,1137,bucknell
34,Buffalo,1138,buffalo
35,Butler,1139,butler
36,Cal Poly,1142,cal-poly
37,Cal State Bakersfield,1167,cal-state-bakersfield
38,Cal State Fullerton,1168,cal-state-fullerton
39,Cal State Long Beach,1253,long-beach-state
40,Cal State Northridge,1169,cal-state-northridge
41,California Baptist,1465,california-baptist
42,Campbell,1144,campbell
43,Canisius,1145,canisius
44,Central Arkansas,1146,central-arkansas
45,Central Connecticut State,1148,central-connecticut-state
46,Central Florida,1416,central-florida
47,Central Michigan,1141,central-michigan
48,Charleston Southern,1149,charleston-southern
49,Charlotte,1150,charlotte
50,Chattanooga,1151,chattanooga
51,Chicago State,1152,chicago-state
52,Cincinnati,1153,cincinnati
53,Citadel,1154,citadel
54,Clemson,1155,clemson
55,Cleveland State,1156,cleveland-state
56,Coastal Carolina,1157,coastal-carolina
57,Colgate,1159,colgate
58,College of Charleston,1158,college-of-charleston
59,Colorado,1160,colorado
60,Colorado State,1161,colorado-state
61,Columbia,1162,columbia
62,Connecticut,1163,connecticut
63,Coppin State,1164,coppin-state
64,Cornell,1165,cornell
65,Creighton,1166,creighton
66,Dartmouth,1171,dartmouth
67,Davidson,1172,davidson
68,Dayton,1173,dayton
69,DePaul,1177,depaul
70,Delaware,1174,delaware
71,Delaware State,1175,delaware-state
72,Denver,1176,denver
73,Detroit Mercy,1178,detroit-mercy
74,Dixie State,1450,dixie-state
75,Drake,1179,drake
76,Drexel,1180,drexel
77,Duke,1181,duke
78,Duquesne,1182,duquesne
79,East Carolina,1187,east-carolina
80,East Tennessee State,1190,east-tennessee-state
81,Eastern Illinois,1183,eastern-illinois
82,Eastern Kentucky,1184,eastern-kentucky
83,Eastern Michigan,1185,eastern-michigan
84,Eastern Washington,1186,eastern-washington
85,Elon,1189,elon
86,Evansville,1191,evansville
87,Fairfield,1193,fairfield
88,Fairleigh Dickinson,1192,fairleigh-dickinson
89,Florida,1196,florida
90,Florida A&M,1197,florida-am
91,Florida Atlantic,1194,florida-atlantic
92,Florida Gulf Coast,1195,florida-gulf-coast
93,Florida International,1198,florida-international
94,Florida State,1199,florida-state
95,Fordham,1200,fordham
96,Fresno State,1201,fresno-state
97,Furman,1202,furman
98,Gardner-Webb,1205,gardner-webb
99,George Mason,1206,george-mason
100,George Washington,1203,george-washington
101,Georgetown,1207,georgetown
102,Georgia,1208,georgia
103,Georgia Southern,1204,georgia-southern
104,Georgia State,1209,georgia-state
105,Georgia Tech,1210,georgia-tech
106,Gonzaga,1211,gonzaga
107,Grambling,1212,grambling
108,Grand Canyon,1213,grand-canyon
109,Green Bay,1453,green-bay
110,Hampton,1214,hampton
111,Hartford,1216,hartford
112,Harvard,1217,harvard
113,Hawaii,1218,hawaii
114,High Point,1219,high-point
115,Hofstra,1220,hofstra
116,Holy Cross,1221,holy-cross
117,Houston,1222,houston
118,Houston Baptist,1223,houston-baptist
119,Howard,1224,howard
120,IUPUI,1237,iupui
121,Idaho,1225,idaho
122,Idaho State,1226,idaho-state
123,Illinois,1228,illinois
124,Illinois State,1229,illinois-state
125,Illinois-Chicago,1227,illinois-chicago
126,Incarnate Word,1230,incarnate-word
127,Indiana,1231,indiana
128,Indiana State,1232,indiana-state
129,Iona,1233,iona
130,Iowa,1234,iowa
131,Iowa State,1235,iowa-state
132,Jackson State,1238,jackson-state
133,Jacksonville,1239,jacksonville
134,Jacksonville State,1240,jacksonville-state
135,James Madison,1241,james-madison
136,Kansas,1242,kansas
137,Kansas State,1243,kansas-state
138,Kennesaw State,1244,kennesaw-state
139,Kent State,1245,kent-state
140,Kentucky,1246,kentucky
141,La Salle,1247,la-salle
142,Lafayette,1248,lafayette
143,Lamar,1249,lamar
144,Lehigh,1250,lehigh
145,Liberty,1251,liberty
146,Lipscomb,1252,lipscomb
147,Little Rock,1114,arkansas-little-rock
148,Long Island University,1254,long-island-university
149,Longwood,1255,longwood
150,Louisiana,1418,louisiana-lafayette
151,Louisiana State,1261,louisiana-state
152,Louisiana Tech,1256,louisiana-tech
153,Louisiana-Monroe,1419,louisiana-monroe
154,Louisville,1257,louisville
155,Loyola (IL),1260,loyola-il
156,Loyola (MD),1259,loyola-md
157,Loyola Marymount,1258,loyola-marymount
158,Maine,1263,maine
159,Manhattan,1264,manhattan
160,Marist,1265,marist
161,Marquette,1266,marquette
162,Marshall,1267,marshall
163,Maryland,1268,maryland
164,Maryland-Baltimore County,1420,maryland-baltimore-county
165,Maryland-Eastern Shore,1271,maryland-eastern-shore
166,Massachusetts,1269,massachusetts
167,Massachusetts-Lowell,1262,massachusetts-lowell
168,McNeese State,1270,mcneese-state
169,Memphis,1272,memphis
170,Mercer,1273,mercer
171,Merrimack,1467,merrimack
172,Miami (FL),1274,miami-fl
173,Miami (OH),1275,miami-oh
174,Michigan,1276,michigan
175,Michigan State,1277,michigan-state
176,Middle Tennessee,1292,middle-tennessee
177,Milwaukee,1454,milwaukee
178,Minnesota,1278,minnesota
179,Mississippi,1279,mississippi
180,Mississippi State,1280,mississippi-state
181,Mississippi Valley State,1290,mississippi-valley-state
182,Missouri,1281,missouri
183,Missouri State,1283,missouri-state
184,Missouri-Kansas City,1282,missouri-kansas-city
185,Monmouth,1284,monmouth
186,Montana,1285,montana
187,Montana State,1286,montana-state
188,Morehead State,1287,morehead-state
189,Morgan State,1288,morgan-state
190,Mount St. Mary's,1291,mount-st-marys
191,Murray State,1293,murray-state
192,NJIT,1312,njit
193,Navy,1298,navy
194,Nebraska,1304,nebraska
195,Nevada,1305,nevada
196,Nevada-Las Vegas,1424,nevada-las-vegas
197,New Hampshire,1306,new-hampshire
198,New Mexico,1307,new-mexico
199,New Mexico State,1308,new-mexico-state
200,New Orleans,1309,new-orleans
201,Niagara,1310,niagara
202,Nicholls State,1311,nicholls-state
203,Norfolk State,1313,norfolk-state
204,North Alabama,1466,north-alabama
205,North Carolina,1314,north-carolina
206,North Carolina A&T,1299,north-carolina-at
207,North Carolina Central,1300,north-carolina-central
208,North Carolina State,1301,north-carolina-state
209,North Carolina-Asheville,1421,north-carolina-asheville
210,North Carolina-Greensboro,1422,north-carolina-greensboro
211,North Carolina-Wilmington,1423,north-carolina-wilmington
212,North Dakota,1315,north-dakota
213,North Dakota State,1295,north-dakota-state
214,North Florida,1316,north-florida
215,North Texas,1317,north-texas
216,Northeastern,1318,northeastern
217,Northern Arizona,1319,northern-arizona
218,Northern Colorado,1294,northern-colorado
219,Northern Illinois,1296,northern-illinois
220,Northern Iowa,1320,northern-iowa
221,Northern Kentucky,1297,northern-kentucky
222,Northwestern,1321,northwestern
223,Northwestern State,1322,northwestern-state
224,Notre Dame,1323,notre-dame
225,Oakland,1324,oakland
226,Ohio,1325,ohio
227,Ohio State,1326,ohio-state
228,Oklahoma,1328,oklahoma
229,Oklahoma State,1329,oklahoma-state
230,Old Dominion,1330,old-dominion
231,Omaha,1303,nebraska-omaha
232,Oral Roberts,1331,oral-roberts
233,Oregon,1332,oregon
234,Oregon State,1333,oregon-state
235,Pacific,1334,pacific
236,Penn State,1336,penn-state
237,Pennsylvania,1335,pennsylvania
238,Pepperdine,1337,pepperdine
239,Pittsburgh,1338,pittsburgh
240,Portland,1339,portland
241,Portland State,1340,portland-state
242,Prairie View,1341,prairie-view
243,Presbyterian,1342,presbyterian
244,Princeton,1343,princeton
245,Providence,1344,providence
246,Purdue,1345,purdue
247,Purdue-Fort Wayne,1236,ipfw
248,Quinnipiac,1346,quinnipiac
249,Radford,1347,radford
250,Rhode Island,1348,rhode-island
251,Rice,1349,rice
252,Richmond,1350,richmond
253,Rider,1351,rider
254,Robert Morris,1352,robert-morris
255,Rutgers,1353,rutgers
256,SIU Edwardsville,1188,southern-illinois-edwardsville
257,Sacramento State,1170,sacramento-state
258,Sacred Heart,1357,sacred-heart
259,Saint Francis (PA),1384,saint-francis-pa
260,Saint Joseph's,1386,saint-josephs
261,Saint Louis,1387,saint-louis
262,Saint Mary's (CA),1388,saint-marys-ca
263,Saint Peter's,1389,saint-peters
264,Sam Houston State,1358,sam-houston-state
265,Samford,1359,samford
266,San Diego,1360,san-diego
267,San Diego State,1361,san-diego-state
268,San Francisco,1362,san-francisco
269,San Jose State,1363,san-jose-state
270,Santa Clara,1365,santa-clara
271,Savannah State,1366,savannah-state
272,Seattle,1370,seattle
273,Seton Hall,1371,seton-hall
274,Siena,1373,siena
275,South Alabama,1375,south-alabama
276,South Carolina,1376,south-carolina
277,South Carolina State,1354,south-carolina-state
278,South Carolina Upstate,1367,south-carolina-upstate
279,South Dakota,1377,south-dakota
280,South Dakota State,1355,south-dakota-state
281,South Florida,1378,south-florida
282,Southeast Missouri State,1369,southeast-missouri-state
283,Southeastern Louisiana,1368,southeastern-louisiana
284,Southern,1380,southern
285,Southern California,1425,southern-california
286,Southern Illinois,1356,southern-illinois
287,Southern Methodist,1374,southern-methodist
288,Southern Mississippi,1379,southern-mississippi
289,Southern Utah,1381,southern-utah
290,St. Bonaventure,1382,st-bonaventure
291,St. Francis (NY),1383,st-francis-ny
292,St. John's (NY),1385,st-johns-ny
293,Stanford,1390,stanford
294,Stephen F. Austin,1372,stephen-f-austin
295,Stetson,1391,stetson
296,Stony Brook,1392,stony-brook
297,Syracuse,1393,syracuse
298,Tarleton State,1322,tarleton-state
299,Temple,1396,temple
300,Tennessee,1397,tennessee
301,Tennessee State,1398,tennessee-state
302,Tennessee Tech,1399,tennessee-tech
303,Tennessee-Martin,1404,tennessee-martin
304,Texas,1400,texas
305,Texas A&M,1401,texas-am
306,Texas A&M-Corpus Christi,1394,texas-am-corpus-christi
307,Texas Christian,1395,texas-christian
308,Texas Southern,1411,texas-southern
309,Texas State,1402,texas-state
310,Texas Tech,1403,texas-tech
311,Texas-Arlington,1426,texas-arlington
312,Texas-El Paso,1431,texas-el-paso
313,Texas-Rio Grande Valley,1410,texas-pan-american
314,Texas-San Antonio,1427,texas-san-antonio
315,Toledo,1405,toledo
316,Towson,1406,towson
317,Troy,1407,troy
318,Tulane,1408,tulane
319,Tulsa,1409,tulsa
320,UC-Davis,1413,california-davis
321,UC-Irvine,1414,california-irvine
322,UC-Riverside,1415,california-riverside
323,UC-San Diego,1159,california-san-diego
324,UC-Santa Barbara,1364,california-santa-barbara
325,UCLA,1417,ucla
326,University of California,1143,california
327,Utah,1428,utah
328,Utah State,1429,utah-state
329,Utah Valley,1430,utah-valley
330,VMI,1440,virginia-military-institute
331,Valparaiso,1434,valparaiso
332,Vanderbilt,1435,vanderbilt
333,Vermont,1436,vermont
334,Villanova,1437,villanova
335,Virginia,1438,virginia
336,Virginia Commonwealth,1433,virginia-commonwealth
337,Virginia Tech,1439,virginia-tech
338,Wagner,1447,wagner
339,Wake Forest,1448,wake-forest
340,Washington,1449,washington
341,Washington State,1450,washington-state
342,Weber State,1451,weber-state
343,West Virginia,1452,west-virginia
344,Western Carolina,1441,western-carolina
345,Western Illinois,1442,western-illinois
346,Western Kentucky,1443,western-kentucky
347,Western Michigan,1444,western-michigan
348,Wichita State,1455,wichita-state
349,William & Mary,1456,william-mary
350,Winthrop,1457,winthrop
351,Wisconsin,1458,wisconsin
352,Wofford,1459,wofford
353,Wright State,1460,wright-state
354,Wyoming,1461,wyoming
355,Xavier,1462,xavier
356,Yale,1463,yale
357,Youngstown State,1464,youngstown-state
